language,spk_id,gender,age,native_language,dialect
Arabic,001,female,21,Arabic,Tunisian
Arabic,002,female,19,Arabic,Tunisian
Arabic,003,female,24,Arabic,Tunisian
Arabic,004,female,24,Arabic,Tunisian
Arabic,005,female,17,Arabic,Tunisian
Arabic,006,female,21,Arabic,Tunisian
Arabic,007,female,13,Arabic,Tunisian
Arabic,008,female,21,Arabic,Tunisian
Arabic,009,female,17,Arabic,Tunisian
Arabic,010,male,62,Arabic,Tunisian
Arabic,011,female,33,Arabic,Tunisian
Arabic,012,female,22,Arabic,Tunisian
Arabic,013,male,23,Arabic,Tunisian
Arabic,014,male,22,Arabic,Tunisian
Arabic,015,male,24,Arabic,Tunisian
Arabic,016,male,26,Arabic,Tunisian
Arabic,017,male,31,Arabic,Tunisian
Arabic,018,male,28,Arabic,Tunisian
Arabic,019,female,23,Arabic,Tunisian
Arabic,020,female,23,Arabic,Tunisian
Arabic,021,female,26,Arabic,Tunisian
Arabic,022,male,16,Arabic,Tunisian
Arabic,023,male,17,Arabic,Tunisian
Arabic,024,female,16,Arabic,Tunisian
Arabic,025,male,40,Arabic,Tunisian
Arabic,026,female,14,Arabic,Tunisian
Arabic,027,female,18,Arabic,Tunisian
Arabic,028,female,12,Arabic,Tunisian
Arabic,029,female,12,Arabic,Tunisian
Arabic,030,female,34,Arabic,Tunisian
Arabic,031,female,16,Arabic,Tunisian
Arabic,032,female,17,Arabic,Tunisian
Arabic,033,female,45,Arabic,Tunisian
Arabic,034,female,22,Arabic,Tunisian
Arabic,035,male,27,Arabic,Tunisian
Arabic,036,male,28,Arabic,Tunisian
Arabic,037,male,11,Arabic,Tunisian
Arabic,038,female,35,Arabic,Tunisian
Arabic,039,male,18,Arabic,Tunisian
Arabic,042,female,18,Arabic,Tunisian
Arabic,044,male,50,Arabic,Tunisian
Arabic,046,male,29,Arabic,Tunisian
Arabic,047,male,19,Arabic,Tunisian
Arabic,050,female,12,Arabic,Tunisian
Arabic,051,male,38,Arabic,Tunisian
Arabic,052,male,27,Arabic,Tunisian
Arabic,053,male,21,Arabic,Tunisian
Arabic,054,male,33,Arabic,Tunisian
Arabic,055,male,36,Arabic,Tunisian
Arabic,056,male,39,Arabic,Tunisian
Arabic,057,male,32,Arabic,Tunisian
Arabic,058,male,30,Arabic,Tunisian
Arabic,061,female,21,Arabic,Tunisian
Arabic,062,male,45,Arabic,Tunisian
Arabic,065,male,45,Arabic,Tunisian
Arabic,066,female,30,Arabic,Tunisian
Arabic,067,male,24,Arabic,Tunisian
Arabic,068,male,32,Arabic,Tunisian
Arabic,069,male,31,Arabic,Tunisian
Arabic,101,male,63,Arabic,Jordanian
Arabic,102,male,45,Arabic,Palestinian
Arabic,103,female,19,Arabic,Palestinian
Arabic,104,female,22,Arabic,Palestinian
Arabic,105,female,26,Arabic,Palestinian
Arabic,106,female,20,Arabic,Palestinian
Arabic,107,female,23,Arabic,Palestinian
Arabic,108,male,23,Arabic,Palestinian
Arabic,109,female,21,Arabic,Palestinian
Arabic,110,female,19,Arabic,Palestinian
Arabic,111,female,25,Arabic,Palestinian
Arabic,112,female,41,Arabic,Palestinian
Arabic,114,female,21,Arabic,Palestinian
Arabic,115,female,20,Arabic,Palestinian
Arabic,134,female,24,Arabic,Palestinian
Arabic,135,female,26,Arabic,Palestinian
Arabic,136,male,66,Arabic,Palestinian
Arabic,137,female,22,Arabic,Palestinian
Arabic,164,male,36,Arabic,Palestinian
Arabic,165,male,23,Arabic,Tunisian
