language,spk_id,gender,age,native_language,dialect
Croatian,001,male,27,Croatian,Zagreb dialect
Croatian,002,female,18,Croatian,Zagreb dialect
Croatian,003,male,65,Croatian,Zagreb dialect
Croatian,004,male,43,Croatian,Standard Croatian
Croatian,005,female,78,Croatian,Zagreb dialect
Croatian,006,female,70,Croatian,Zagreb dialect
Croatian,007,female,,Croatian,Zagreb dialect
Croatian,008,male,19,Croatian,Zagreb dialect
Croatian,009,male,32,Croatian,Kajkav
Croatian,011,female,53,Croatian,Kajkav
Croatian,012,male,27,Croatian,Kajkav
Croatian,013,female,53,Croatian,Kajkav
Croatian,014,female,41,Croatian,Standard Croatian
Croatian,015,female,37,Croatian,Standard Croatian
Croatian,016,male,37,Croatian,Standard Croatian
Croatian,017,male,40,Croatian,Standard Croatian
Croatian,018,male,27,Croatian,Zagreb dialect
Croatian,019,male,47,Croatian,Zagreb dialect
Croatian,020,male,16,Croatian,Zagreb dialect
Croatian,021,male,12,Croatian,Zagreb dialect
Croatian,022,female,28,Croatian,Shtokav
Croatian,023,female,58,Croatian,Zagreb dialect
Croatian,024,female,65,Croatian,Standard Croatian
Croatian,025,female,72,Croatian,Standard Croatian
Croatian,026,male,25,Croatian,Standard Croatian
Croatian,027,male,24,Bosnian,Northern Bosnian
Croatian,028,male,25,Croatian,"Purgerian, street slang"
Croatian,029,female,16,Croatian,Zagreb dialect
Croatian,030,male,16,Croatian,Zagreb dialect
Croatian,031,male,17,Croatian,Zagreb dialect
Croatian,032,female,25,Croatian,Zagreb dialect
Croatian,033,male,27,Croatian,Zagreb dialect
Croatian,034,male,28,Croatian,Zagreb dialect
Croatian,035,male,27,Croatian,Zagreb dialect
Croatian,036,male,27,Croatian,Zagreb dialect
Croatian,037,female,33,Croatian,Standard Croatian
Croatian,038,male,40,Croatian,Standard Croatian
Croatian,039,male,28,Croatian,Zagreb dialect
Croatian,040,male,31,Croatian,Zagreb dialect
Croatian,041,female,25,Croatian,Zagreb dialect
Croatian,042,female,17,Bosnian,Bosnian
Croatian,043,female,19,Bosnian,Bosnian
Croatian,044,female,17,Bosnian,Bosnian
Croatian,045,female,47,Bosnian,Bosnian
Croatian,046,female,21,Bosnian,Bosnian
Croatian,047,male,24,Bosnian,Bosnian
Croatian,048,female,24,Bosnian,Bosnian
Croatian,049,male,22,Bosnian,Bosnian
Croatian,050,male,18,Bosnian,Bosnian
Croatian,051,female,50,Bosnian,Bosnian
Croatian,052,male,53,Bosnian,Bosnian
Croatian,053,female,22,Bosnian,Bosnian
Croatian,054,female,16,Bosnian,Bosnian
Croatian,055,female,50,Bosnian,Bosnian
Croatian,056,female,18,Bosnian,Bosnian
Croatian,057,male,17,Bosnian,Bosnian
Croatian,058,male,28,Bosnian,Bosnian
Croatian,059,female,19,Bosnian,Bosnian
Croatian,060,female,19,Bosnian,Bosnian
Croatian,061,female,50,Bosnian,Bosnian
Croatian,062,female,19,Bosnian,Bosnian
Croatian,063,male,29,Bosnian,Bosnian
Croatian,064,female,45,Bosnian,Bosnian
Croatian,065,male,50,Bosnian,Bosnian
Croatian,066,female,40,Bosnian,Bosnian
Croatian,067,female,40,Bosnian,Bosnian
Croatian,068,male,35,Bosnian,Bosnian
Croatian,069,female,20,Bosnian,Bosnian
Croatian,070,female,22,Bosnian,Bosnian
Croatian,071,female,31,Bosnian,Bosnian
Croatian,072,female,40,Bosnian,Bosnian
Croatian,073,female,20,Bosnian,Bosnian
Croatian,074,female,24,Bosnian,Bosnian
Croatian,075,female,21,Bosnian,Bosnian
Croatian,076,female,40,Bosnian,Bosnian
Croatian,077,female,38,Bosnian,Bosnian
Croatian,078,male,42,Bosnian,Bosnian
Croatian,079,female,23,Bosnian,Bosnian
Croatian,080,female,43,Bosnian,Bosnian
Croatian,081,female,33,Bosnian,Bosnian
Croatian,082,female,35,Bosnian,Bosnian
Croatian,083,female,19,Croatian,Standard Croatian
Croatian,084,female,45,Bosnian,Bosnian
Croatian,085,male,39,Bosnian,Bosnian
Croatian,086,female,16,Bosnian,Bosnian
Croatian,087,female,34,Bosnian,Bosnian
Croatian,088,female,35,Bosnian,Bosnian
Croatian,089,female,16,Bosnian,Bosnian
Croatian,090,female,21,Bosnian,Bosnian
Croatian,091,female,16,Bosnian,Bosnian
Croatian,092,male,31,Bosnian,Bosnian
Croatian,093,male,27,Bosnian,Bosnian
Croatian,094,female,42,Croatian,Zagreb dialect
Croatian,10,male,25,Croatian,Kajkav
