language,spk_id,gender,age,native_language,dialect
Czech,001,female,51,Czech,common Czech
Czech,002,female,20,Czech,common Czech
Czech,003,female,26,Czech,common Czech
Czech,004,female,58,Czech,common Czech
Czech,005,male,28,Czech,common Czech
Czech,006,female,26,Czech,common Czech
Czech,007,male,33,Czech,common Czech
Czech,008,male,27,Czech,common Czech
Czech,009,male,22,Czech,common Czech
Czech,010,male,51,Czech,common Czech
Czech,011,female,47,Czech,common Czech
Czech,012,male,17,Czech,common Czech
Czech,013,male,21,Czech,common Czech
Czech,014,female,21,Czech,common Czech
Czech,015,male,17,Czech,common Czech
Czech,016,male,48,Czech,common Czech
Czech,017,female,46,Czech,common Czech
Czech,018,female,26,Czech,common Czech
Czech,019,male,33,Czech,common Czech
Czech,020,female,25,Czech,common Czech
Czech,021,female,19,Czech,common Czech
Czech,022,male,47,Czech,common Czech
Czech,023,female,25,Czech,common Czech
Czech,024,female,20,Czech,common Czech
Czech,025,male,74,Czech,common Czech
Czech,026,male,25,Czech,common Czech
Czech,027,male,22,Czech,common Czech
Czech,028,female,24,Czech,common Czech
Czech,029,female,19,Czech,common Czech
Czech,030,male,21,Czech,common Czech
Czech,031,male,21,Czech,common Czech
Czech,032,female,24,Czech,common Czech
Czech,033,male,18,Czech,common Czech
Czech,034,female,21,Czech,common Czech
Czech,035,female,21,Czech,common Czech
Czech,036,male,20,Czech,common Czech
Czech,037,male,25,Czech,common Czech
Czech,038,male,21,Czech,common Czech
Czech,039,male,20,Czech,common Czech
Czech,040,female,21,Czech,common Czech
Czech,041,female,18,Czech,common Czech
Czech,042,female,22,Czech,common Czech
Czech,043,male,22,Czech,common Czech
Czech,044,male,20,Czech,common Czech
Czech,045,male,23,Czech,common Czech
Czech,046,female,25,Czech,common Czech
Czech,047,male,21,Czech,common Czech
Czech,048,male,21,Czech,common Czech
Czech,049,male,22,Czech,common Czech
Czech,050,female,21,Czech,common Czech
Czech,051,male,25,Czech,common Czech
Czech,052,male,22,Czech,common Czech
Czech,053,male,20,Czech,common Czech
Czech,054,male,23,Czech,common Czech
Czech,055,male,23,Czech,common Czech
Czech,056,male,22,Czech,common Czech
Czech,057,female,48,Czech,common Czech
Czech,058,male,21,Czech,common Czech
Czech,059,female,46,Czech,common Czech
Czech,060,male,21,Czech,common Czech
Czech,061,female,21,Czech,common Czech
Czech,062,male,20,Czech,common Czech
Czech,063,male,20,Czech,common Czech
Czech,064,male,22,Czech,common Czech
Czech,065,male,20,Czech,common Czech
Czech,066,female,20,Czech,common Czech
Czech,067,male,21,Czech,common Czech
Czech,068,female,21,Czech,common Czech
Czech,069,female,20,Czech,common Czech
Czech,070,female,23,Czech,common Czech
Czech,071,female,20,Czech,common Czech
Czech,072,female,21,Czech,common Czech
Czech,073,female,21,Czech,common Czech
Czech,074,male,23,Czech,common Czech
Czech,075,male,22,Czech,common Czech
Czech,076,male,25,Czech,common Czech
Czech,077,male,26,Czech,common Czech
Czech,078,male,20,Czech,common Czech
Czech,079,female,20,Czech,common Czech
Czech,080,male,18,Czech,common Czech
Czech,081,male,48,Czech,common Czech
Czech,082,female,20,Czech,common Czech
Czech,083,male,19,Czech,common Czech
Czech,084,male,20,Czech,common Czech
Czech,085,male,22,Czech,common Czech
Czech,086,male,19,Czech,common Czech
Czech,087,female,44,Czech,common Czech
Czech,088,female,69,Czech,common Czech
Czech,089,female,18,Czech,common Czech
Czech,090,female,21,Czech,common Czech
Czech,091,female,20,Czech,common Czech
Czech,092,female,19,Czech,common Czech
Czech,093,male,20,Czech,common Czech
Czech,094,male,47,Czech,common Czech
Czech,095,male,18,Czech,common Czech
Czech,096,male,18,Czech,common Czech
Czech,097,female,16,Czech,common Czech
Czech,098,female,16,Czech,common Czech
Czech,099,male,21,Czech,common Czech
Czech,100,female,25,Czech,common Czech
Czech,101,female,18,Czech,common Czech
Czech,102,male,22,Czech,common Czech
