language,spk_id,gender,age,native_language,dialect
French,001,male,23,French,
French,002,female,22,French,
French,003,male,26,French,
French,004,female,22,French,
French,005,female,36,French,
French,006,female,21,French,
French,007,male,54,French,
French,008,male,26,French,
French,009,male,62,French,
French,010,female,29,French,
French,011,male,35,French,
French,012,female,32,French,
French,013,female,29,French,
French,014,male,52,French,
French,015,female,54,French,
French,016,male,27,French,
French,017,female,57,French,
French,018,female,34,French,
French,019,male,27,French,
French,020,male,23,French,
French,021,female,19,French,
French,022,female,40,French,
French,023,male,24,French,
French,024,female,54,French,
French,025,male,21,French,
French,026,female,48,French,
French,027,male,22,French,
French,028,male,23,French,
French,029,female,,French,
French,030,female,30,French,
French,031,female,47,French,
French,032,male,21,French,
French,033,male,28,French,
French,034,male,43,French,
French,035,male,54,French,
French,036,male,24,French,
French,037,female,33,French,
French,038,female,23,French,
French,039,female,22,French,
French,040,female,17,French,
French,041,female,30,French,
French,042,female,23,French,
French,043,female,54,French,
French,044,male,21,French,
French,045,male,24,French,
French,046,male,37,French,
French,047,female,22,French,
French,048,male,32,French,
French,049,male,25,French,
French,050,male,42,French,
French,051,female,29,French,
French,052,female,41,French,
French,053,female,21,French,
French,054,female,61,French,
French,055,male,22,French,
French,056,male,23,French,
French,057,male,24,French,
French,058,male,23,French,
French,059,female,24,French,
French,060,male,25,French,
French,061,female,22,French,
French,062,female,21,French,
French,063,female,29,French,
French,064,male,32,French,
French,065,female,27,French,
French,066,female,22,French,
French,067,female,63,French,
French,068,male,40,French,
French,069,male,37,French,
French,070,female,51,French,
French,071,female,24,French,
French,072,female,36,French,
French,073,male,41,French,
French,074,male,43,French,
French,075,female,29,French,
French,076,male,15,French,
French,077,male,,French,
French,078,male,60,French,
French,079,female,46,French,
French,080,male,33,French,
French,081,female,21,French,
French,082,female,22,French,
French,083,female,51,French,
French,084,female,42,French,
French,085,male,22,French,
French,086,male,24,French,
French,087,female,31,French,
French,088,male,47,French,
French,089,male,24,French,
French,090,male,29,French,
French,091,female,22,French,
French,092,female,23,French,
French,093,male,28,French,
French,094,male,38,French,
French,095,male,24,French,
French,096,female,47,French,
French,097,female,23,French,
French,098,male,53,French,
French,099,female,38,French,
French,100,male,25,French,
