language,spk_id,gender,age,native_language,dialect
German,001,male,,German,
German,002,male,,German,
German,003,male,,German,
German,004,male,,German,
German,005,male,,German,
German,006,male,,German,
German,007,male,,German,
German,008,female,,German,
German,009,male,,German,
German,010,female,,German,
German,011,female,,German,
German,012,male,,German,
German,013,male,,German,
German,014,male,,German,
German,015,male,,German,
German,016,male,,German,
German,017,male,,German,
German,018,female,,German,
German,019,male,,German,
German,020,male,,German,
German,021,male,,German,
German,022,male,,German,
German,023,male,,German,
German,024,male,,German,
German,025,male,,German,
German,026,female,,German,
German,027,male,,German,
German,028,male,,German,
German,029,male,,German,
German,030,male,,German,
German,031,male,,German,
German,032,male,,German,
German,033,male,,German,
German,034,male,,German,
German,035,male,,German,
German,036,male,,German,
German,037,male,,German,
German,038,male,,German,
German,039,male,,German,
German,040,male,,German,
German,041,male,,German,
German,042,male,,German,
German,043,male,,German,
German,044,male,,German,
German,045,male,,German,
German,046,female,,German,
German,047,male,,German,
German,048,male,,German,
German,049,female,,German,
German,050,male,,German,
German,051,male,,German,
German,052,male,,German,
German,053,male,,German,
German,054,male,,German,
German,055,male,,German,
German,056,male,,German,
German,057,male,,German,
German,058,male,,German,
German,059,male,,German,
German,060,male,,German,
German,061,male,,German,
German,062,male,,German,
German,063,male,,German,
German,064,male,,German,
German,065,male,,German,
German,066,male,,German,
German,067,male,,German,
German,068,male,,German,
German,069,male,,German,
German,070,male,,German,
German,071,male,,German,
German,072,male,,German,
German,073,male,,German,
German,074,male,,German,
German,075,male,,German,
German,076,male,,German,
German,077,male,,German,
German,080,male,,French,
German,081,female,,Rumaenisch,
German,082,male,,Turkish,
German,083,male,,Turkish,
German,084,male,,Russian,
German,085,male,,Russian,
