language,spk_id,gender,age,native_language,dialect
Korean,001,female,24,Korean,Chonnam
Korean,002,female,24,Korean,Chonnam
Korean,003,female,22,Korean,Chonnam
Korean,004,female,24,Korean,Chonnam
Korean,005,female,23,Korean,Chonnam
Korean,006,female,24,Korean,Chonnam
Korean,007,male,24,Korean,Chonnam
Korean,008,male,28,Korean,Chonnam
Korean,009,female,24,Korean,Chonnam
Korean,010,female,22,Korean,Chonnam
Korean,011,female,26,Korean,Chonnam
Korean,012,male,20,Korean,Chonnam
Korean,013,male,29,Korean,Seoul
Korean,014,male,25,Korean,Seoul
Korean,015,male,24,Korean,Seoul
Korean,016,male,28,Korean,Seoul
Korean,017,male,22,Korean,Kyongbu
Korean,018,male,27,Korean,Kyungsang
Korean,019,male,24,Korean,Chungchung
Korean,020,male,19,Korean,Kyungki
Korean,021,male,22,Korean,Kangwon
Korean,022,male,20,Korean,Seoul
Korean,023,female,23,Korean,Chungchung
Korean,024,male,20,Korean,Kyungsang
Korean,025,male,19,Korean,Chonbuk
Korean,026,female,20,Korean,Seoul
Korean,027,male,24,Korean,Chonnam
Korean,028,female,20,Korean,Seoul
Korean,029,male,24,Korean,Chunbuk
Korean,030,male,25,Korean,Seoul
Korean,031,female,20,Korean,Kyungsang
Korean,032,male,21,Korean,Seoul
Korean,033,male,18,Korean,Chungbuk
Korean,034,male,19,Korean,Chunnam
Korean,035,male,24,Korean,Chunnam
Korean,036,male,26,Korean,Seoul
Korean,037,male,34,Korean,
Korean,038,female,32,Korean,Seoul
Korean,039,female,26,Korean,Seoul
Korean,040,male,34,Korean,Seoul
Korean,041,female,22,Korean,Seoul
Korean,042,female,26,Korean,Seoul
Korean,043,male,32,Korean,Seoul
Korean,044,female,36,Korean,Seoul
Korean,045,female,41,Korean,Seoul
Korean,046,female,32,Korean,Chunnam
Korean,047,male,42,Korean,Seoul
Korean,048,female,26,Korean,Seoul
Korean,049,male,26,Korean,Chunnam
Korean,050,female,30,Korean,Chonnam
Korean,051,female,28,Korean,Chonnam
Korean,052,female,26,Korean,Chonnam
Korean,053,male,26,Korean,Chonnam
Korean,054,female,31,Korean,Chonnam
Korean,055,male,33,Korean,Chonnam
Korean,056,male,36,Korean,Chonnam
Korean,057,male,18,Korean,Seoul
Korean,058,female,39,Korean,Chonnam
Korean,059,female,21,Korean,Chonnam
Korean,060,male,23,Korean,Chonnam
Korean,061,male,23,Korean,Chonnam
Korean,062,male,23,Korean,Seoul
Korean,063,male,24,Korean,Seoul
Korean,064,male,27,Korean,Seoul
Korean,065,male,30,Korean,Seoul
Korean,066,male,27,Korean,Seoul
Korean,067,male,23,Korean,Seoul
Korean,068,female,24,Korean,Seoul
Korean,069,female,20,Korean,Seoul
Korean,070,female,20,Korean,Kyungsang
Korean,071,female,22,Korean,Seoul
Korean,072,male,24,Korean,Seoul
Korean,073,male,23,Korean,Seoul
Korean,074,female,22,Korean,Kyungsang
Korean,075,female,23,Korean,Kyungsang
Korean,076,female,35,Korean,Chonnam
Korean,077,female,24,Korean,Chonnam
Korean,078,female,16,Korean,Chonnam
Korean,079,female,32,Korean,Seoul
Korean,080,female,27,Korean,
Korean,081,female,27,Korean,
Korean,082,female,23,Korean,
Korean,083,female,26,Korean,Seoul
Korean,084,female,26,Korean,Seoul
Korean,085,male,27,Korean,Seoul
Korean,086,male,30,Korean,Chungchung
Korean,087,female,32,Korean,
Korean,088,male,36,Korean,Kyungsang
Korean,089,male,32,Korean,Seoul
Korean,090,female,29,Korean,
Korean,091,female,22,Korean,
Korean,092,male,19,Korean,Seoul
Korean,093,male,29,Korean,
Korean,094,female,34,Korean,Seoul
Korean,095,female,22,Korean,Kyungsang
Korean,096,female,23,Korean,Seoul
Korean,097,male,26,Korean,Seoul
Korean,098,female,42,Korean,Kyungsang
Korean,099,female,26,Korean,Kyungsang
Korean,100,male,,Korean,
