language,spk_id,gender,age,native_language,dialect
Polish,001,female,22,Polish,
Polish,002,male,21,Polish,
Polish,003,male,40,Polish,
Polish,004,female,44,Polish,
Polish,005,female,23,Polish,
Polish,006,male,40,Polish,
Polish,007,male,42,Polish,
Polish,008,male,53,Polish,
Polish,009,female,50,Polish,
Polish,010,female,40,Polish,
Polish,011,female,21,Polish,
Polish,012,male,22,Polish,
Polish,013,male,25,Polish,
Polish,014,female,51,Polish,
Polish,015,male,49,Polish,
Polish,016,female,23,Polish,
Polish,017,female,23,Polish,
Polish,018,male,25,Polish,
Polish,019,male,23,Polish,
Polish,020,male,25,Polish,
Polish,021,male,44,Polish,
Polish,022,female,43,Polish,
Polish,023,female,24,Polish,
Polish,024,female,36,Polish,
Polish,025,female,35,Polish,
Polish,026,female,42,Polish,
Polish,027,,,Polish,
Polish,028,,,Polish,
Polish,029,,,Polish,
Polish,030,,,Polish,
Polish,031,,,Polish,
Polish,032,,,Polish,
Polish,033,,,Polish,
Polish,034,,,Polish,
Polish,035,,,Polish,
Polish,036,,,Polish,
Polish,037,,,Polish,
Polish,038,,,Polish,
Polish,039,,,Polish,
Polish,040,,,Polish,
Polish,041,,,Polish,
Polish,042,,,Polish,
Polish,043,,,Polish,
Polish,044,,,Polish,
Polish,045,,,Polish,
Polish,046,,,Polish,
Polish,047,,,Polish,
Polish,048,,,Polish,
Polish,049,,,Polish,
Polish,050,,,Polish,
Polish,051,,,Polish,
Polish,052,,,Polish,
Polish,053,,,Polish,
Polish,054,,,Polish,
Polish,055,,,Polish,
Polish,056,,,Polish,
Polish,057,,,Polish,
Polish,058,,,Polish,
Polish,059,,,Polish,
Polish,060,,,Polish,
Polish,061,,,Polish,
Polish,062,,,Polish,
Polish,063,,,Polish,
Polish,064,,,Polish,
Polish,065,,,Polish,
Polish,066,,,Polish,
Polish,067,,,Polish,
Polish,068,,,Polish,
Polish,069,,,Polish,
Polish,070,,,Polish,
Polish,071,,,Polish,
Polish,072,,,Polish,
Polish,073,,,Polish,
Polish,074,,,Polish,
Polish,075,,,Polish,
Polish,076,,,Polish,
Polish,077,,,Polish,
Polish,078,,,Polish,
Polish,079,,,Polish,
Polish,080,,,Polish,
Polish,081,,,Polish,
Polish,082,,,Polish,
Polish,083,,,Polish,
Polish,084,,,Polish,
Polish,085,,,Polish,
Polish,086,,,Polish,
Polish,087,,,Polish,
Polish,088,,,Polish,
Polish,089,,,Polish,
Polish,090,,,Polish,
Polish,091,,,Polish,
Polish,092,,,Polish,
Polish,093,,,Polish,
Polish,094,,,Polish,
Polish,095,,,Polish,
Polish,096,,,Polish,
Polish,097,,,Polish,
Polish,098,,,Polish,
Polish,099,,,Polish,
