language,spk_id,gender,age,native_language,dialect
Portuguese,001,female,29,Portuguese,Carioca
Portuguese,002,female,32,Portuguese,Nordestino
Portuguese,003,female,24,Portuguese,Nordestino
Portuguese,004,female,30,Portuguese,Nordestino
Portuguese,005,female,31,Portuguese,Carioca
Portuguese,006,male,30,Portuguese,
Portuguese,007,male,30,Portuguese,Gaucho
Portuguese,008,male,33,Portuguese,Sulista
Portuguese,009,male,54,Portuguese,
Portuguese,010,male,23,Portuguese,Mineiro
Portuguese,011,male,23,Portuguese,Sulista
Portuguese,013,female,29,Portuguese,
Portuguese,014,female,47,Portuguese,Sulista
Portuguese,015,female,24,Portuguese,
Portuguese,016,female,26,Portuguese,
Portuguese,017,female,27,Portuguese,Paranaense
Portuguese,018,female,24,Portuguese,Mineiro
Portuguese,019,female,22,Portuguese,Mineiro
Portuguese,021,female,37,Portuguese,Paranaense
Portuguese,022,male,35,Portuguese,
Portuguese,023,male,33,Portuguese,Maranhaense
Portuguese,024,male,24,Portuguese,Gaucho
Portuguese,025,male,21,Portuguese,
Portuguese,026,female,33,Portuguese,Maranhaense
Portuguese,029,female,29,Portuguese,Paraibense
Portuguese,030,female,36,Portuguese,Mineiro
Portuguese,031,female,30,Portuguese,Carioca
Portuguese,033,female,34,Portuguese,Paulista
Portuguese,034,female,33,Portuguese,Mineiro
Portuguese,036,male,19,Portuguese,Paulista
Portuguese,037,female,23,Portuguese,Paulista
Portuguese,042,male,20,Portuguese,Mato Grossense
Portuguese,043,male,23,Portuguese,
Portuguese,044,female,22,Portuguese,
Portuguese,045,male,30,Portuguese,Mineiro
Portuguese,047,male,33,Portuguese,Brasiliense
Portuguese,048,male,21,Portuguese,
Portuguese,049,female,23,Portuguese,Mineiro
Portuguese,051,male,29,Portuguese,
Portuguese,053,male,20,Portuguese,Paulista
Portuguese,054,female,,Portuguese,Goiano
Portuguese,055,male,38,Portuguese,Amazonense
Portuguese,056,female,36,Portuguese,Sulista
Portuguese,058,male,40,Portuguese,Gaucho
Portuguese,059,female,39,Portuguese,Gaucho
Portuguese,060,male,31,Portuguese,Nordestino
Portuguese,064,male,24,Portuguese,Mineiro
Portuguese,068,male,28,Portuguese,Nordestino
Portuguese,069,female,20,Portuguese,Nordestino
Portuguese,070,female,21,Portuguese,
Portuguese,071,female,27,Portuguese,
Portuguese,072,female,20,Portuguese,Nordestino
Portuguese,101,female,48,Portuguese,Paulista
Portuguese,102,female,19,Portuguese,Paulista
Portuguese,103,male,28,Portuguese,Paulista
Portuguese,104,female,71,Portuguese,Paulista
Portuguese,105,female,30,Portuguese,Paulista
Portuguese,106,male,19,Portuguese,Paulista
Portuguese,107,male,62,Portuguese,Paulista
Portuguese,108,female,56,Portuguese,Paulista
Portuguese,109,male,13,Portuguese,Paulista
Portuguese,110,male,22,Portuguese,Paulista
Portuguese,111,female,37,Portuguese,Paulista
Portuguese,112,female,23,Portuguese,Paulista
Portuguese,113,male,27,Portuguese,Paulista
Portuguese,114,male,34,Portuguese,Paulista
Portuguese,115,female,44,Portuguese,Paulista
Portuguese,116,female,31,Portuguese,Paulista
Portuguese,117,male,22,Portuguese,Paulista
Portuguese,118,male,24,Portuguese,Paulista
Portuguese,119,female,22,Portuguese,Paulista
Portuguese,120,male,22,Portuguese,Paulista
Portuguese,121,male,24,Portuguese,Paulista
Portuguese,122,female,23,Portuguese,
Portuguese,125,male,25,Portuguese,Paulista
Portuguese,126,female,22,Portuguese,Paulista
Portuguese,127,male,24,Portuguese,Paulista
Portuguese,128,female,38,Portuguese,Paulista
Portuguese,129,female,19,Portuguese,Paulista
Portuguese,130,female,48,Portuguese,Paulista
Portuguese,131,male,25,Portuguese,Paulista
Portuguese,132,male,23,Portuguese,Paulista
Portuguese,133,male,23,Portuguese,Paulista
Portuguese,134,female,22,Portuguese,Paulista
Portuguese,135,male,23,Portuguese,Paulista
Portuguese,136,male,20,Portuguese,Paulista
Portuguese,137,male,24,Portuguese,Paulista
Portuguese,138,male,22,Portuguese,Paulista
Portuguese,139,male,20,Portuguese,Paulista
Portuguese,140,male,21,Portuguese,Paulista
Portuguese,141,male,20,Portuguese,Paulista
Portuguese,142,female,20,Portuguese,Paulista
Portuguese,143,female,14,Portuguese,Paulista
Portuguese,144,male,26,Portuguese,Paulista
Portuguese,145,male,22,Portuguese,Paulista
Portuguese,146,male,25,Portuguese,
Portuguese,147,male,23,Portuguese,Paulista
Portuguese,148,male,31,Portuguese,Paulista
Portuguese,149,male,25,Portuguese,Paulista
Portuguese,150,male,24,Portuguese,Paulista
Portuguese,212,male,37,Portuguese,Mineiro
Portuguese,312,female,56,Portuguese,Sulista
