language,spk_id,gender,age,native_language,dialect
Russian,001,male,27,Russian,
Russian,002,female,22,Russian,
Russian,003,male,26,Russian,
Russian,004,female,21,Russian,
Russian,005,female,21,Russian,
Russian,006,male,25,Russian,
Russian,007,female,20,Russian,
Russian,008,female,25,Russian,
Russian,012,female,26,Russian,
Russian,013,male,24,Russian,
Russian,014,male,50,Russian,
Russian,015,male,21,Russian,
Russian,016,female,49,Russian,
Russian,017,male,24,Russian,"? ?,aber man kann es merken"
Russian,018,male,21,Russian,-?
Russian,019,male,20,Russian,
Russian,020,male,20,Russian,
Russian,021,male,21,Russian,
Russian,022,male,21,Russian,
Russian,023,male,21,Russian,
Russian,024,male,21,Russian,
Russian,025,male,21,Russian,
Russian,026,female,21,Russian,
Russian,027,female,25,Russian,
Russian,028,male,26,Russian,
Russian,029,male,21,Russian,
Russian,030,male,21,Russian,
Russian,031,female,22,Russian,
Russian,032,male,25,Russian,
Russian,033,male,21,Russian,
Russian,034,male,21,Russian,
Russian,035,female,49,Russian,
Russian,036,female,49,Russian,
Russian,037,female,41,Russian,bestimmt aber welchen....
Russian,038,female,47,Russian,kaum zu merken
Russian,039,male,30,Russian,
Russian,040,female,25,Russian,
Russian,041,female,47,Russian,
Russian,042,male,54,Russian,rein Russisch
Russian,043,female,38,Russian,
Russian,044,male,20,Russian,
Russian,045,male,20,Russian,
Russian,046,male,20,Russian,
Russian,047,male,21,Russian,
Russian,048,male,19,Russian,
Russian,049,male,20,Russian,
Russian,050,male,24,Russian,
Russian,051,female,41,Russian,
Russian,052,male,25,Russian,
Russian,053,female,49,Russian,
Russian,054,female,52,Russian,
Russian,055,female,50,Russian,
Russian,056,male,20,Russian,
Russian,057,male,20,Russian,
Russian,058,male,48,Russian,"unbetonter ""o"" liest man immer als ""o"""
Russian,059,male,23,Russian,
Russian,060,male,23,Russian,
Russian,061,male,21,Russian,
Russian,062,male,45,Russian,ja
Russian,063,male,40,Russian,kaum zu spueren
Russian,064,female,30,Russian,
Russian,065,male,27,Russian,
Russian,066,female,39,Russian,
Russian,067,male,30,Russian,
Russian,068,male,25,Russian,
Russian,069,male,25,Russian,
Russian,070,female,27,Russian,
Russian,071,female,25,Russian,
Russian,072,female,49,Russian,
Russian,073,male,50,Russian,
Russian,074,male,21,Russian,
Russian,075,male,22,Russian,
Russian,076,male,21,Russian,
Russian,077,female,23,Russian,
Russian,078,female,38,Russian,
Russian,079,female,33,Russian,
Russian,080,female,21,Russian,
Russian,081,female,24,Russian,
Russian,082,female,21,Russian,
Russian,083,male,25,Russian,
Russian,084,male,27,Russian,
Russian,085,female,21,Russian,
Russian,086,male,21,Russian,
Russian,087,male,22,Russian,
Russian,088,male,24,Russian,
Russian,089,male,21,Russian,
Russian,090,male,27,Russian,
Russian,091,female,27,Russian,
Russian,092,female,22,Russian,
Russian,093,female,21,Russian,
Russian,094,female,26,Russian,
Russian,095,male,25,Russian,
Russian,096,female,25,Russian,
Russian,097,female,25,Russian,
Russian,098,male,25,Russian,
Russian,099,female,50,Russian,
Russian,100,female,24,Russian,
Russian,101,female,19,Russian,
Russian,102,male,43,Russian,weissrussisch
Russian,103,female,18,Russian,
Russian,104,female,49,Russian,weissrussisch
Russian,105,female,21,Russian,
Russian,106,male,17,Russian,
Russian,109,male,46,Russian,weissrussisch
Russian,110,male,39,Russian,
Russian,112,female,36,Russian,
Russian,114,female,21,Russian,
Russian,115,female,26,Russian,Minsk
Russian,116,female,18,Russian,weissrussisch
Russian,117,female,16,Russian,
Russian,119,female,18,Russian,
Russian,120,female,18,Russian,
Russian,121,female,25,Russian,
Russian,122,male,24,Russian,
Russian,123,female,18,Russian,
