language,spk_id,gender,age,native_language,dialect
Spanish,001,male,22,Spanish,Chilean
Spanish,002,male,23,Spanish,Ecuadorian
Spanish,003,female,23,Spanish,Castellano
Spanish,004,male,24,Spanish,Argentinean
Spanish,005,female,23,Spanish,Castellano
Spanish,006,female,24,Spanish,Tico
Spanish,007,female,19,Spanish,Tico
Spanish,008,male,21,Spanish,Guanacasteco
Spanish,009,male,19,Spanish,Tico
Spanish,010,female,19,Spanish,Tico
Spanish,011,male,21,Spanish,Guanacasteco
Spanish,012,female,20,Spanish,Tico
Spanish,013,male,22,Spanish,Tico
Spanish,014,female,22,Spanish,Tico
Spanish,015,male,25,Spanish,Guanacasteco
Spanish,016,female,22,Spanish,Tico
Spanish,017,female,20,Spanish,Tico
Spanish,018,male,23,Spanish,Tico
Spanish,019,male,24,Spanish,Tico
Spanish,020,male,21,Spanish,Tico
Spanish,021,male,18,Spanish,Tico
Spanish,022,male,21,Spanish,Tico
Spanish,023,female,53,Spanish,Tico
Spanish,024,female,17,Spanish,Tico
Spanish,025,female,18,Spanish,Tico
Spanish,026,male,26,Spanish,Tico
Spanish,027,female,27,Spanish,Tico
Spanish,028,female,50,Spanish,Tico
Spanish,029,female,30,Spanish,Tico
Spanish,030,female,55,Spanish,Tico
Spanish,031,female,32,Spanish,Tico
Spanish,032,male,23,Spanish,Tico
Spanish,033,female,25,Spanish,Tico
Spanish,034,male,32,Spanish,Tico
Spanish,035,female,17,Spanish,Tico
Spanish,036,male,31,Spanish,Tico
Spanish,037,female,44,Spanish,Nicaraguense
Spanish,038,female,36,Spanish,Tico
Spanish,039,female,28,Spanish,Tico
Spanish,040,male,48,Spanish,Mexican
Spanish,041,female,27,Spanish,Tico
Spanish,042,female,51,Spanish,Tico
Spanish,043,male,48,Spanish,Tico
Spanish,044,male,71,Spanish,Tico
Spanish,045,female,58,Spanish,Tico
Spanish,046,male,69,Spanish,Guatemalteco
Spanish,047,female,34,Spanish,Tico
Spanish,048,female,40,Spanish,Tico
Spanish,049,female,16,Spanish,Tico
Spanish,050,female,18,Spanish,Tico
Spanish,051,female,17,Spanish,Tico
Spanish,052,female,15,Spanish,Tico
Spanish,053,female,16,Spanish,Tico
Spanish,054,female,15,Spanish,Tico
Spanish,055,female,15,Spanish,Tico
Spanish,056,female,18,Spanish,Tico
Spanish,057,male,17,Spanish,Tico
Spanish,058,male,21,Spanish,Limonense
Spanish,059,male,17,Spanish,Tico
Spanish,060,male,17,Spanish,Tico
Spanish,061,female,24,Spanish,Tico
Spanish,062,female,20,Spanish,Tico
Spanish,063,male,28,Spanish,Tico
Spanish,064,female,28,Spanish,Tico
Spanish,065,female,24,Spanish,Tico
Spanish,066,male,43,Spanish,Tico
Spanish,067,female,34,Spanish,Tico
Spanish,068,male,19,Spanish,Tico
Spanish,069,male,23,Spanish,Tico
Spanish,070,female,19,Spanish,Tico
Spanish,071,male,23,Spanish,Tico
Spanish,072,female,20,Spanish,Tico
Spanish,073,female,38,Spanish,Tico
Spanish,074,female,51,Spanish,Tico
Spanish,075,female,22,Spanish,Tico
Spanish,076,female,22,Spanish,Tico
Spanish,077,female,23,Spanish,Tico
Spanish,078,male,28,Spanish,Tico
Spanish,079,female,23,Spanish,Tico
Spanish,080,female,23,Spanish,Tico
Spanish,081,female,22,Spanish,Tico
Spanish,082,male,22,Spanish,Tico
Spanish,083,male,29,Spanish,Tico
Spanish,084,male,35,Spanish,Tico
Spanish,085,male,32,Spanish,Tico
Spanish,086,male,22,Spanish,Tico
Spanish,087,male,26,Spanish,Tico
Spanish,088,female,35,Spanish,Tico
Spanish,089,female,35,Spanish,Tico
Spanish,090,female,30,Spanish,Tico
Spanish,091,male,24,Spanish,Tico
Spanish,092,female,22,Spanish,Tico
Spanish,093,male,23,Spanish,Uruguayo
Spanish,094,male,24,Spanish,Ecuadorian
Spanish,095,male,22,Spanish,Tico
Spanish,096,male,23,Spanish,Tico
Spanish,097,male,23,Spanish,Colombiano
Spanish,098,female,23,Spanish,Peruano
Spanish,099,male,23,Spanish,Chilean
Spanish,100,female,24,Spanish,Canario
