language,spk_id,gender,age,native_language,dialect
Swedish,001,female,24,Swedish,Smaalaendska
Swedish,002,female,68,Swedish,Uppsvenska
Swedish,003,female,62,Swedish,Skaanska
Swedish,004,male,65,Swedish,Smaalaendska
Swedish,005,female,62,Swedish,Oelaendska
Swedish,006,female,40,Swedish,Oelaendska
Swedish,007,male,46,Swedish,Oelaendska
Swedish,008,male,65,Swedish,Stockholmska
Swedish,009,female,62,Swedish,Soermlaendska
Swedish,010,female,40,Swedish,Blekingska
Swedish,011,male,42,Swedish,Gotlaendska
Swedish,012,male,44,Swedish,Stockholmska
Swedish,013,female,58,Swedish,Uppsvenska
Swedish,014,female,24,Swedish,Oelaendska
Swedish,015,male,25,Swedish,Stockholmska
Swedish,016,male,52,Swedish,Oelaendska
Swedish,017,female,50,Swedish,Oelaendska
Swedish,018,male,22,Swedish,Oelaendska
Swedish,019,male,32,Swedish,Vaermlaendska
Swedish,020,female,25,Swedish,Vaermlaendska
Swedish,021,female,21,Swedish,Smaalaendska
Swedish,022,female,47,Swedish,Skaanska
Swedish,023,male,47,Swedish,Smaalaendska
Swedish,024,male,23,Swedish,Smaalaendska
Swedish,025,female,18,Swedish,Smaalaendska
Swedish,026,female,18,Swedish,Goeteborgska
Swedish,027,female,18,Swedish,Smaalaendska
Swedish,028,female,18,Swedish,Smaalaendska
Swedish,029,female,43,Swedish,Smaalaendska
Swedish,030,female,36,Swedish,Smaalaendska
Swedish,031,male,25,Swedish,Smaalaendska
Swedish,032,male,26,Swedish,Smaalaendska
Swedish,033,female,34,Swedish,Smaalaendska
Swedish,034,male,45,Swedish,Goeteborgska
Swedish,035,male,25,Swedish,Smaalaendska
Swedish,036,male,36,Swedish,Smaalaendska
Swedish,037,male,21,Swedish,Smaalaendska
Swedish,038,male,23,Swedish,Smaalaendska
Swedish,039,male,23,Swedish,Smaalaendska
Swedish,040,male,28,Swedish,Smaalaendska
Swedish,041,male,21,Swedish,Smaalaendska
Swedish,042,male,39,Swedish,Smaalaendska
Swedish,043,male,26,Swedish,Smaalaendska
Swedish,044,male,24,Swedish,Smaalaendska
Swedish,045,female,46,Swedish,Goeteborgska
Swedish,046,male,24,Swedish,Smaalaendska
Swedish,047,female,25,Swedish,Smaalaendska
Swedish,048,female,18,Swedish,Smaalaendska
Swedish,049,male,22,Swedish,Smaalaendska
Swedish,050,female,20,Swedish,Smaalaendska
Swedish,051,female,20,Swedish,Smaalaendska
Swedish,052,female,20,Swedish,Smaalaendska
Swedish,053,female,19,Swedish,Smaalaendska
Swedish,054,female,20,Swedish,Smaalaendska
Swedish,055,female,19,Swedish,Smaalaendska
Swedish,056,female,19,Swedish,Smaalaendska
Swedish,057,female,51,Swedish,Smaalaendska
Swedish,058,male,53,Swedish,Smaalaendska
Swedish,059,female,41,Swedish,Oelaendska
Swedish,060,female,51,Swedish,Oelaendska
Swedish,061,female,59,Swedish,Norrlaendska
Swedish,062,female,18,Swedish,Oelaendska
Swedish,063,female,22,Swedish,Oelaendska
Swedish,064,female,62,Swedish,Stockholmska
Swedish,066,male,24,Swedish,Oelaendska
Swedish,067,male,56,Swedish,Oelaendska
Swedish,068,female,50,Swedish,Oelaendska
Swedish,069,male,34,Swedish,Smaalaendska
Swedish,070,male,25,Swedish,Stockholmska
Swedish,071,male,26,Swedish,Smaalaendska
Swedish,072,male,34,Swedish,Goeteborgska
Swedish,074,male,22,Swedish,Vaermlaendska
Swedish,075,male,27,Swedish,Goeteborgska
Swedish,076,male,23,Swedish,Stockholmska
Swedish,077,female,25,Swedish,Goeteborgska
Swedish,078,male,30,Swedish,Goeteborgska
Swedish,079,male,29,Swedish,Goeteborgska
Swedish,080,male,35,Swedish,Vaestgoetska
Swedish,081,female,24,Swedish,Goeteborgska
Swedish,082,female,24,Swedish,Hallaendska
Swedish,083,male,29,Swedish,Goeteborgska
Swedish,084,male,24,Swedish,Goeteborgska
Swedish,085,male,27,Swedish,Vaestgoetska
Swedish,086,female,30,Swedish,Vaestgoetska
Swedish,087,female,20,Swedish,Goeteborgska
Swedish,088,female,21,Swedish,Oestgoetska
Swedish,089,male,20,Swedish,Vaestgoetska
Swedish,090,male,23,Swedish,Bohusmaal
Swedish,091,female,21,Swedish,Norrlaendska
Swedish,092,female,29,Swedish,Goeteborgska
Swedish,093,male,36,Swedish,Vaermlaendska
Swedish,094,male,26,Swedish,Soermlaendska
Swedish,095,male,27,Swedish,Goeteborgska
Swedish,096,female,22,Swedish,Goeteborgska
Swedish,097,female,22,Swedish,Goeteborgska
Swedish,098,male,30,Swedish,Goeteborgska
Swedish,099,male,23,Swedish,Smaalaendska
Swedish,100,male,26,Swedish,Smaalaendska
