language,spk_id,gender,age,native_language,dialect
Thai,001,female,21,Thai,Middle
Thai,002,female,18,Thai,Middle
Thai,003,female,18,Thai,Middle
Thai,004,female,18,Thai,Middle
Thai,005,female,22,Thai,Middle
Thai,006,female,21,Thai,Middle
Thai,007,male,19,Thai,Middle
Thai,008,female,19,Thai,Middle
Thai,009,female,19,Thai,Middle
Thai,010,male,21,Thai,Middle
Thai,011,female,19,Thai,Middle
Thai,012,male,20,Thai,Middle
Thai,013,female,19,Thai,Middle
Thai,014,female,19,Thai,Middle
Thai,015,female,18,Thai,Middle
Thai,016,female,19,Thai,Middle
Thai,017,male,22,Thai,Middle
Thai,018,female,20,Thai,Middle
Thai,019,female,19,Thai,Middle
Thai,020,female,20,Thai,Middle
Thai,021,female,20,Thai,Middle
Thai,022,female,18,Thai,Middle
Thai,023,male,21,Thai,Middle
Thai,024,male,20,Thai,Middle
Thai,025,female,21,Thai,Middle
Thai,026,X,20,Thai,Middle
Thai,027,female,21,Thai,Middle
Thai,028,X,18,Thai,Middle
Thai,029,male,20,Thai,Middle
Thai,030,female,19,Thai,Middle
Thai,031,female,19,Thai,Middle
Thai,032,male,22,Thai,Middle
Thai,033,male,20,Thai,Middle
Thai,034,female,21,Thai,Middle
Thai,035,female,25,Thai,Middle
Thai,036,female,21,Thai,Middle
Thai,037,female,19,Thai,Middle
Thai,038,male,21,Thai,middle
Thai,039,female,20,Thai,Middle
Thai,040,female,19,Thai,Middle
Thai,041,female,21,Thai,Middle
Thai,042,female,21,Thai,Middle
Thai,043,male,21,Thai,Middle
Thai,044,female,20,Thai,middle
Thai,045,female,19,Thai,middle
Thai,046,female,19,Thai,middle
Thai,047,female,18,Thai,middle
Thai,048,male,22,Thai,middle
Thai,049,male,22,Thai,middle
Thai,050,X,19,Thai,middle
Thai,051,female,20,Thai,middle
Thai,052,X,20,Thai,middle
Thai,053,male,20,Thai,middle
Thai,054,female,19,Thai,middle
Thai,055,male,21,Thai,middle
Thai,056,female,19,Thai,middle
Thai,057,female,21,Thai,middle
Thai,058,female,19,Thai,middle
Thai,059,male,20,Thai,middle
Thai,060,male,21,Thai,middle
Thai,061,male,22,Thai,middle
Thai,062,female,20,Thai,middle
Thai,063,male,18,Thai,middle
Thai,064,female,20,Thai,middle
Thai,065,female,18,Thai,middle
Thai,066,female,21,Thai,middle
Thai,067,male,20,Thai,middle
Thai,068,female,19,Thai,middle
Thai,069,female,19,Thai,middle
Thai,070,female,19,Thai,middle
Thai,071,female,21,Thai,middle
Thai,072,female,20,Thai,middle
Thai,073,X,21,Thai,middle
Thai,074,X,19,Thai,middle
Thai,075,male,22,Thai,middle
Thai,076,male,23,Thai,middle
Thai,077,female,21,Thai,middle
Thai,078,female,20,Thai,middle
Thai,079,female,20,Thai,middle
Thai,080,female,21,Thai,middle
Thai,081,female,21,Thai,middle
Thai,082,male,21,Thai,middle
Thai,083,male,24,Thai,middle
Thai,084,female,22,Thai,middle
Thai,085,female,22,Thai,middle
Thai,086,female,24,Thai,middle
Thai,087,female,23,Thai,middle
Thai,088,male,24,Thai,middle
Thai,089,female,23,Thai,middle
Thai,090,female,23,Thai,middle
Thai,101,male,24,Thai,middle
Thai,102,female,22,Thai,middle
Thai,103,female,22,Thai,middle
Thai,104,female,24,Thai,middle
Thai,105,female,23,Thai,middle
Thai,106,male,24,Thai,middle
Thai,107,female,23,Thai,middle
Thai,108,female,23,Thai,middle
