language,spk_id,gender,age,native_language,dialect
Turkish,001,female,23,Turkish,Standard Turkish
Turkish,002,male,16,Turkish,Standard Turkish
Turkish,003,male,18,Turkish,Standard Turkish
Turkish,004,female,36,Turkish,Standard Turkish
Turkish,005,male,26,Turkish,Standard Turkish
Turkish,006,female,22,Turkish,Standard Turkish
Turkish,007,female,25,Turkish,Standard Turkish
Turkish,008,female,32,Turkish,Standard Turkish
Turkish,009,female,20,Turkish,Standard Turkish
Turkish,010,female,16,Turkish,Standard Turkish
Turkish,011,male,22,Turkish,Anatolian
Turkish,012,female,22,Turkish,Standard Turkish
Turkish,013,female,33,Turkish,Standard Turkish
Turkish,014,female,20,Turkish,Standard Turkish
Turkish,015,female,35,Turkish,Standard Turkish
Turkish,016,female,25,Turkish,Standard Turkish
Turkish,017,male,36,Turkish,Standard Turkish
Turkish,018,female,15,Turkish,Standard Turkish
Turkish,019,female,18,Turkish,Standard Turkish
Turkish,020,male,15,Turkish,Standard Turkish
Turkish,021,female,44,Turkish,Standard Turkish
Turkish,022,female,39,Turkish,Standard Turkish
Turkish,023,female,35,Turkish,Anatolian
Turkish,024,male,16,Turkish,Standard Turkish
Turkish,025,female,20,Turkish,Standard Turkish
Turkish,026,female,24,Turkish,Standard Turkish
Turkish,027,female,27,Turkish,Standard Turkish
Turkish,028,female,19,Turkish,Standard Turkish
Turkish,029,female,31,Turkish,Standard Turkish
Turkish,030,female,16,Turkish,Standard Turkish
Turkish,031,female,16,Turkish,Standard Turkish
Turkish,032,female,16,Turkish,Standard Turkish
Turkish,033,male,18,Turkish,Standard Turkish
Turkish,034,male,17,Turkish,Standard Turkish
Turkish,035,male,23,Turkish,Anatolian
Turkish,036,male,17,Turkish,Standard Turkish
Turkish,037,male,46,Turkish,Standard Turkish
Turkish,038,male,24,Turkish,Standard Turkish
Turkish,039,female,19,Turkish,Standard Turkish
Turkish,040,male,24,Turkish,Standard Turkish
Turkish,041,male,46,Turkish,Anatolian
Turkish,042,male,46,Turkish,Standard Turkish
Turkish,043,female,13,Turkish,Standard Turkish
Turkish,044,female,14,Turkish,Standard Turkish
Turkish,045,female,13,Turkish,Standard Turkish
Turkish,046,female,36,Turkish,Anatolian
Turkish,047,female,31,Turkish,Standard Turkish
Turkish,048,female,22,Turkish,Standard Turkish
Turkish,049,male,32,Turkish,Anatolian
Turkish,050,female,33,Turkish,Anatolian
Turkish,051,female,18,Turkish,Standard Turkish
Turkish,052,female,23,Turkish,Standard Turkish
Turkish,053,female,25,Turkish,Standard Turkish
Turkish,054,male,19,Turkish,Standard Turkish
Turkish,055,female,25,Turkish,Standard Turkish
Turkish,056,male,31,Turkish,Standard Turkish
Turkish,057,male,28,Turkish,Anatolian
Turkish,058,female,32,Turkish,Standard Turkish
Turkish,059,female,18,Turkish,Standard Turkish
Turkish,060,male,46,Turkish,Standard Turkish
Turkish,061,female,38,Turkish,Standard Turkish
Turkish,062,male,38,Turkish,Standard Turkish
Turkish,063,female,38,Turkish,Standard Turkish
Turkish,064,female,45,Turkish,Standard Turkish
Turkish,065,female,38,Turkish,Standard Turkish
Turkish,066,female,23,Turkish,Standard Turkish
Turkish,067,female,20,Turkish,Standard Turkish
Turkish,068,female,17,Turkish,Standard Turkish
Turkish,069,female,35,Turkish,Standard Turkish
Turkish,070,female,36,Turkish,Standard Turkish
Turkish,071,female,16,Turkish,Standard Turkish
Turkish,072,female,17,Turkish,Standard Turkish
Turkish,073,male,15,Turkish,Standard Turkish
Turkish,074,male,19,Turkish,Standard Turkish
Turkish,075,male,21,Turkish,Standard Turkish
Turkish,076,female,15,Turkish,Standard Turkish
Turkish,077,female,40,Turkish,Standard Turkish
Turkish,078,female,23,Turkish,Standard Turkish
Turkish,079,male,24,Turkish,Standard Turkish
Turkish,080,female,21,Turkish,Standard Turkish
Turkish,081,female,22,Turkish,Standard Turkish
Turkish,082,male,33,Turkish,Standard Turkish
Turkish,083,female,21,Turkish,Standard Turkish
Turkish,084,female,43,Turkish,Standard Turkish
Turkish,085,female,45,Turkish,Standard Turkish
Turkish,086,female,15,Turkish,Standard Turkish
Turkish,087,female,44,Turkish,Standard Turkish
Turkish,088,female,13,Turkish,Standard Turkish
Turkish,089,female,43,Turkish,Standard Turkish
Turkish,090,female,53,Turkish,Standard Turkish
Turkish,091,female,46,Turkish,Standard Turkish
Turkish,092,female,42,Turkish,Standard Turkish
Turkish,093,female,45,Turkish,Standard Turkish
Turkish,094,female,50,Turkish,Standard Turkish
Turkish,095,female,53,Turkish,Standard Turkish
Turkish,096,female,25,Turkish,Standard Turkish
Turkish,097,female,30,Turkish,Standard Turkish
Turkish,098,male,33,Turkish,Standard Turkish
Turkish,099,female,15,Turkish,Standard Turkish
Turkish,100,female,23,Turkish,Standard Turkish
