language,spk_id,gender,age,native_language,dialect
Vietnamese,001,female,17,Vietnamese,Northern Vietnam
Vietnamese,002,female,46,Vietnamese,Northern Vietnam
Vietnamese,003,male,57,Vietnamese,Northern Vietnam
Vietnamese,004,X,40,Vietnamese,Northern Vietnam
Vietnamese,005,male,50,Vietnamese,Northern Vietnam
Vietnamese,006,female,45,Vietnamese,Northern Vietnam
Vietnamese,007,male,33,Vietnamese,Northern Vietnam
Vietnamese,008,male,33,Vietnamese,Northern Vietnam
Vietnamese,009,male,32,Vietnamese,Northern Vietnam
Vietnamese,010,X,31,Vietnamese,Northern Vietnam
Vietnamese,011,male,25,Vietnamese,Northern Vietnam
Vietnamese,012,male,30,Vietnamese,Northern Vietnam
Vietnamese,013,female,24,Vietnamese,Northern Vietnam
Vietnamese,014,female,29,Vietnamese,Northern Vietnam
Vietnamese,015,female,27,Vietnamese,Northern Vietnam
Vietnamese,016,female,30,Vietnamese,Northern Vietnam
Vietnamese,017,male,52,vietnamese,Northern Vietnam
Vietnamese,019,male,31,Vietnamese,Northern Vietnam
Vietnamese,020,female,37,vietnamese,Northern Vietnam
Vietnamese,021,male,30,Vietnamese,Northern Vietnam
Vietnamese,022,female,40,Vietnamese,Northern Vietnam
Vietnamese,023,male,33,Vietnamese,Northern Vietnam
Vietnamese,024,female,18,vietnamese,Northern Vietnam
Vietnamese,025,female,18,Vietnamese,Northern Vietnam
Vietnamese,026,female,18,vietnamese,Northern Vietnam
Vietnamese,027,male,23,vietnamese,Northern Vietnam
Vietnamese,028,female,18,vietnamese,Northern Vietnam
Vietnamese,029,female,35,Vietnamese,Northern Vietnam
Vietnamese,030,male,40,Vietnamese,Northern Vietnam
Vietnamese,031,female,25,Vietnamese,Southern Vietnam
Vietnamese,033,female,64,Vietnam,Northern Vietnam
Vietnamese,034,female,25,Vietnamese,Southern Vietnam
Vietnamese,035,male,34,Vietnamese,Northern Vietnam
Vietnamese,036,male,41,Vietnamese,Southern Vietnam
Vietnamese,037,male,46,Vietnamese,Southern Vietnam
Vietnamese,038,female,30,Vietnamese,Southern Vietnam
Vietnamese,039,female,41,Vietnamese,Southern Vietnam
Vietnamese,040,male,70,Vietnamese,Northern Vietnam
Vietnamese,041,male,24,Vietnamese,Southern Vietnam
Vietnamese,042,male,23,Vietnamese,Southern Vietnam
Vietnamese,043,male,67,Vietnamese,Northern Vietnam
Vietnamese,044,male,30,Vietnamese,Southern Vietnam
Vietnamese,046,male,23,Vietnam,Southern Vietnam
Vietnamese,047,male,24,Vietnamese,Northern Vietnam
Vietnamese,048,female,22,Vietnamese,Northern Vietnam
Vietnamese,049,male,22,Vietnamese,Southern Vietnam
Vietnamese,050,male,22,Vietnamese,Northern Vietnam
Vietnamese,051,male,53,Vietnamese,Southern Vietnam
Vietnamese,052,female,22,Vietnamese,Southern Vietnam
Vietnamese,053,male,22,Vietnamese,Southern Vietnam
Vietnamese,054,female,22,Vietnamese,Southern Vietnam
Vietnamese,055,female,22,Vietnamese,Southern Vietnam
Vietnamese,056,female,26,Vietnamese,Southern Vietnam
Vietnamese,057,male,23,Vietnamese,Southern Vietnam
Vietnamese,058,female,23,Vietnamese,Southern Vietnam
Vietnamese,059,male,22,Vietnamese,Southern Vietnam
Vietnamese,060,female,22,Vietnamese,Southern Vietnam
Vietnamese,061,male,16,Vietnamese,Southern Vietnam
Vietnamese,062,female,25,Vietnamese,Southern Vietnam
Vietnamese,063,male,25,Vietnamese,Southern Vietnam
Vietnamese,064,male,24,Vietnamese,Southern Vietnam
Vietnamese,065,male,24,Vietnamese,Southern Vietnam
Vietnamese,066,male,25,Vietnamese,Southern Vietnam
Vietnamese,067,male,63,Vietnamese,Southern Vietnam
Vietnamese,068,female,33,Vietnamese,Northern Vietnam
Vietnamese,070,male,25,Vietnamese,Northern Vietnam
Vietnamese,071,female,29,Vietnamese,Northern Vietnam
Vietnamese,073,male,40,Vietnamese,Northern Vietnam
Vietnamese,074,male,43,Vietnamese,Northern Vietnam
Vietnamese,075,male,39,Vietnamese,Southern Vietnam
Vietnamese,076,male,22,Vietnamese,Southern Vietnam
Vietnamese,077,female,22,Vietnamese,Southern Vietnam
Vietnamese,080,female,25,Vietnamese,Southern Vietnam
Vietnamese,081,female,24,Vietnamese,Southern Vietnam
Vietnamese,082,female,50,Vietnamese,Southern Vietnam
Vietnamese,083,male,56,Vietnamese,Southern Vietnam
Vietnamese,084,male,25,Vietnamese,Southern Vietnam
Vietnamese,085,female,29,Vietnamese,Southern Vietnam
Vietnamese,086,female,30,Vietnamese,Southern Vietnam
Vietnamese,087,female,24,Vietnamese,Southern Vietnam
Vietnamese,088,female,21,Vietnamese,Southern Vietnam
Vietnamese,089,female,22,Vietnamese,Southern Vietnam
Vietnamese,090,female,31,Vietnamese,Southern Vietnam
Vietnamese,091,female,21,Vietnamese,Southern Vietnam
Vietnamese,092,male,20,Vietnamese,Southern Vietnam
Vietnamese,093,female,20,Vietnamese,Southern Vietnam
Vietnamese,094,female,42,Vietnamese,Southern Vietnam
Vietnamese,095,male,21,Vietnamese,Southern Vietnam
Vietnamese,096,female,57,Vietnamese,Southern Vietnam
Vietnamese,097,male,15,Vietnamese,Southern Vietnam
Vietnamese,098,female,17,Vietnamese,Southern Vietnam
Vietnamese,099,male,18,Vietnamese,Southern Vietnam
Vietnamese,100,male,25,Vietnamese,Southern Vietnam
Vietnamese,101,male,18,Vietnamese,Southern Vietnam
Vietnamese,102,male,23,Vietnamese,Southern Vietnam
Vietnamese,103,female,23,Vietnamese,Southern Vietnam
Vietnamese,104,male,21,Vietnamese,Southern Vietnam
Vietnamese,105,male,22,Vietnamese,Southern Vietnam
Vietnamese,106,male,20,Vietnamese,Southern Vietnam
Vietnamese,108,male,17,Vietnamese,Southern Vietnam
Vietnamese,109,male,17,Vietnamese,Southern Vietnam
Vietnamese,110,male,17,Vietnamese,Southern Vietnam
Vietnamese,111,male,24,Vietnamese,Northern Vietnam
Vietnamese,112,male,29,Vietnamese,Northern Vietnam
Vietnamese,113,female,21,Vietnamese,Northern Vietnam
Vietnamese,114,male,24,Vietnamese,Northern Vietnam
Vietnamese,115,female,24,Vietnamese,Northern Vietnam
Vietnamese,116,male,24,Vietnam,Southern Vietnam
Vietnamese,117,female,21,Vietnamese,Northern Vietnam
Vietnamese,118,female,42,Vietnamese,Northern Vietnam
Vietnamese,119,male,26,Vietnamese,Northern Vietnam
Vietnamese,120,male,48,Vietnamese,Northern Vietnam
Vietnamese,121,male,28,Vietnamese,Southern Vietnam
Vietnamese,122,female,25,Vietnamese,Northern Vietnam
Vietnamese,123,male,24,Vietnamese,Northern Vietnam
Vietnamese,124,male,26,Vietnamese,Northern Vietnam
Vietnamese,125,male,25,Vietnamese,Northern Vietnam
