expname,training_languages,excluded_languages,seed,classification_3s,classification_10s,classification_30s,accuracy_3s,accuracy_10s,accuracy_30s,c_primary_3s,c_primary_10s,c_primary_30s
ad_all_tr_no_po_2,all,PO,2,/home/paul/gp-data/ad_all_tr_no_po_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_po_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_po_2/exp/results/classification_30s,0.662,0.784,0.812,0.451,0.297,0.279
ad_all_tr_no_th,all,TH,1,/home/paul/gp-data/ad_all_tr_no_th/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_th/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_th/exp/results/classification_30s,0.648,0.783,0.812,0.462,0.294,0.274
ad_all_tr_no_ch_2,all,CH,2,/home/paul/gp-data/ad_all_tr_no_ch_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ch_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ch_2/exp/results/classification_30s,0.648,0.773,0.801,0.468,0.31,0.291
ad_all_tr_no_cr_2,all,CR,2,/home/paul/gp-data/ad_all_tr_no_cr_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_cr_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_cr_2/exp/results/classification_30s,0.654,0.769,0.795,0.457,0.31,0.294
ad_all_tr_no_fr,all,FR,1,/home/paul/gp-data/ad_all_tr_no_fr/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_fr/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_fr/exp/results/classification_30s,0.629,0.76,0.786,0.489,0.326,0.308
ad_all_tr_no_ar,all,AR,1,/home/paul/gp-data/ad_all_tr_no_ar/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ar/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ar/exp/results/classification_30s,0.649,0.769,0.798,0.467,0.316,0.296
ad_all_tr_all,all,ALL,1,/home/paul/gp-data/ad_all_tr_all/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_all/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_all/exp/results/classification_30s,0.657,0.784,0.811,0.454,0.292,0.275
ad_all_tr_no_cz,all,CZ,1,/home/paul/gp-data/ad_all_tr_no_cz/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_cz/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_cz/exp/results/classification_30s,0.639,0.767,0.792,0.472,0.312,0.295
ad_all_tr_no_wu_2,all,WU,2,/home/paul/gp-data/ad_all_tr_no_wu_2/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_wu_2/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_wu_2/exp/results/classification_30s,0.66,0.792,0.816,0.457,0.291,0.275
ad_all_tr_no_ru,all,RU,1,/home/paul/gp-data/ad_all_tr_no_ru/exp/results/classification_3s,/home/paul/gp-data/ad_all_tr_no_ru/exp/results/classification_10s,/home/paul/gp-data/ad_all_tr_no_ru/exp/results/classification_30s,0.647,0.766,0.788,0.459,0.305,0.292
