expname,training_length,enrollment_length,seed,classification_3s,classification_10s,classification_30s,accuracy_3s,accuracy_10s,accuracy_30s,c_primary_3s,c_primary_10s,c_primary_30s
lre_tr_500_en_500,500,500,1,/home/paul/gp-data/lre_tr_500_en_500/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_500/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_500/exp/results/classification_30s,0.423,0.544,0.583,0.757,0.612,0.589
lre_tr_500_en_1000,500,1000,1,/home/paul/gp-data/lre_tr_500_en_1000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_1000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_1000/exp/results/classification_30s,0.442,0.572,0.616,0.737,0.586,0.562
lre_tr_500_en_5000,500,5000,1,/home/paul/gp-data/lre_tr_500_en_5000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_5000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_5000/exp/results/classification_30s,0.455,0.595,0.641,0.719,0.553,0.522
lre_tr_500_en_10000,500,10000,1,/home/paul/gp-data/lre_tr_500_en_10000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_10000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_10000/exp/results/classification_30s,0.457,0.586,0.626,0.724,0.569,0.546
lre_tr_1000_en_500,1000,500,1,/home/paul/gp-data/lre_tr_1000_en_500/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_500/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_500/exp/results/classification_30s,0.493,0.634,0.676,0.666,0.5,0.472
lre_tr_1000_en_1000,1000,1000,1,/home/paul/gp-data/lre_tr_1000_en_1000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_1000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_1000/exp/results/classification_30s,0.5,0.638,0.679,0.66,0.493,0.463
lre_tr_1000_en_5000,1000,5000,1,/home/paul/gp-data/lre_tr_1000_en_5000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_5000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_5000/exp/results/classification_30s,0.525,0.66,0.702,0.629,0.466,0.432
lre_tr_1000_en_10000,1000,10000,1,/home/paul/gp-data/lre_tr_1000_en_10000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_10000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_10000/exp/results/classification_30s,0.529,0.668,0.707,0.627,0.457,0.429
lre_tr_5000_en_500,5000,500,1,/home/paul/gp-data/lre_tr_5000_en_500/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_500/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_500/exp/results/classification_30s,0.642,0.767,0.791,0.476,0.317,0.303
lre_tr_5000_en_1000,5000,1000,1,/home/paul/gp-data/lre_tr_5000_en_1000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_1000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_1000/exp/results/classification_30s,0.659,0.784,0.811,0.455,0.297,0.28
lre_tr_5000_en_5000,5000,5000,1,/home/paul/gp-data/lre_tr_5000_en_5000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_5000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_5000/exp/results/classification_30s,0.657,0.784,0.811,0.454,0.292,0.275
lre_tr_5000_en_10000,5000,10000,1,/home/paul/gp-data/lre_tr_5000_en_10000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_10000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_10000/exp/results/classification_30s,0.66,0.783,0.812,0.451,0.294,0.276
lre_tr_10000_en_500,10000,500,1,/home/paul/gp-data/lre_tr_10000_en_500/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_500/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_500/exp/results/classification_30s,0.688,0.808,0.837,0.416,0.265,0.243
lre_tr_10000_en_1000,10000,1000,1,/home/paul/gp-data/lre_tr_10000_en_1000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_1000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_1000/exp/results/classification_30s,0.693,0.811,0.838,0.408,0.258,0.237
lre_tr_10000_en_5000,10000,5000,1,/home/paul/gp-data/lre_tr_10000_en_5000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_5000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_5000/exp/results/classification_30s,0.705,0.826,0.851,0.392,0.239,0.217
lre_tr_10000_en_10000,10000,10000,1,/home/paul/gp-data/lre_tr_10000_en_10000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_10000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_10000/exp/results/classification_30s,0.704,0.824,0.85,0.392,0.241,0.219
lre_baseline,all,all,1,/home/paul/gp-data/lre_baseline/exp/results/classification_3s,/home/paul/gp-data/lre_baseline/exp/results/classification_10s,/home/paul/gp-data/lre_baseline/exp/results/classification_30s,0.741,0.852,0.873,0.344,0.204,0.189
lre_tr_500_en_500_2,500,500,2,/home/paul/gp-data/lre_tr_500_en_500_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_500_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_500_2/exp/results/classification_30s,0.426,0.547,0.589,0.753,0.609,0.583
